,chain,addr,protocol_name,addrChecksum,type
0,eth,0x32296969ef14eb0c6d29669c550d4a0449130230,Balancer,0x32296969Ef14EB0c6d29669C550D4a0449130230,Curve_V1_Stable_Math
1,eth,0x32296969ef14eb0c6d29669c550d4a0449130230,Balancer,0x32296969Ef14EB0c6d29669C550D4a0449130230,Curve_V1_Stable_Math
2,eth,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,Balancer,0x5c6Ee304399DBdB9C8Ef030aB642B10820DB8F56,Balancer_Weighted_Math
3,eth,0x1e19cf2d73a72ef1332c882f20534b6519be0276,Balancer,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276,Curve_V1_Stable_Math
4,eth,0xd1ec5e215e8148d76f4460e4097fd3d5ae0a3558,Balancer,0xD1eC5e215E8148D76F4460e4097FD3d5ae0A3558,Balancer_Weighted_Math
5,eth,0x4ce0bd7debf13434d3ae127430e9bd4291bfb61f,Balancer,0x4ce0BD7deBf13434d3ae127430e9BD4291bfB61f,Balancer_Weighted_Math
6,eth,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,Balancer,0x76FCf0e8C7Ff37A47a799FA2cd4c13cDe0D981C9,Balancer_Weighted_Math
7,eth,0xf4c0dd9b82da36c07605df83c8a416f11724d88b,Balancer,0xF4C0DD9B82DA36C07605df83c8a416F11724d88b,Balancer_Weighted_Math
8,eth,0xc29562b045d80fd77c69bec09541f5c16fe20d9d,Balancer,0xc29562b045D80fD77c69Bec09541F5c16fe20d9d,Balancer_Weighted_Math
9,eth,0x9c6d47ff73e0f5e51be5fd53236e3f595c5793f2,Balancer,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,Curve_V1_Stable_Math
10,eth,0xb460daa847c45f1c4a41cb05bfb3b51c92e41b36,Balancer,0xb460DAa847c45f1C4a41cb05BFB3b51c92e41B36,Balancer_Weighted_Math
11,eth,0xcb0e14e96f2cefa8550ad8e4aea344f211e5061d,Balancer,0xCB0e14e96f2cEFA8550ad8e4aeA344F211E5061d,Balancer_Weighted_Math
12,eth,0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a,Balancer,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,Curve_V1_Stable_Math
13,eth,0x8a34b5ad76f528bfec06c80d85ef3b53da7fc300,Balancer,0x8A34b5ad76F528bfEc06c80D85EF3b53dA7FC300,Curve_V1_Stable_Math
14,eth,0x8eb6c82c3081bbbd45dcac5afa631aac53478b7c,Balancer,0x8eB6c82C3081bBBd45DcAC5afA631aaC53478b7C,Balancer_Weighted_Math
15,eth,0x072f14b85add63488ddad88f855fda4a99d6ac9b,Balancer,0x072f14B85ADd63488DDaD88f855Fda4A99d6aC9B,Balancer_Weighted_Math
16,eth,0x92762b42a06dcdddc5b7362cfb01e631c4d44b40,Balancer,0x92762B42A06dCDDDc5B7362Cfb01E631c4D44B40,Balancer_Weighted_Math
17,eth,0x5122e01d819e58bb2e22528c0d68d310f0aa6fd7,Balancer,0x5122E01D819E58BB2E22528c0D68D310f0AA6FD7,Balancer_Weighted_Math
18,eth,0x5122e01d819e58bb2e22528c0d68d310f0aa6fd7,Balancer,0x5122E01D819E58BB2E22528c0D68D310f0AA6FD7,Balancer_Weighted_Math
19,eth,0x350196326aeaa9b98f1903fb5e8fc2686f85318c,Balancer,0x350196326AEAA9b98f1903fb5e8fc2686f85318C,Balancer_Weighted_Math
20,eth,0x350196326aeaa9b98f1903fb5e8fc2686f85318c,Balancer,0x350196326AEAA9b98f1903fb5e8fc2686f85318C,Balancer_Weighted_Math
21,eth,0xd590931466cdd6d488a25da1e89dd0539723800c,Balancer,0xd590931466cdD6d488A25da1E89dD0539723800c,Balancer_Weighted_Math
22,eth,0xa6f548df93de924d73be7d25dc02554c6bd66db5,Balancer,0xA6F548DF93de924d73be7D25dC02554c6bD66dB5,Balancer_Weighted_Math
23,eth,0x96646936b91d6b9d7d0c47c496afbf3d6ec7b6f8,Balancer,0x96646936b91d6B9D7D0c47C496AfBF3D6ec7B6f8,Balancer_Weighted_Math
24,eth,0x06df3b2bbb68adc8b0e302443692037ed9f91b42,Balancer,0x06Df3b2bbB68adc8B0e302443692037ED9f91b42,Curve_V1_Stable_Math
25,eth,0x2de32a7c98c3ef6ec79e703500e8ca5b2ec819aa,Balancer,0x2dE32a7c98C3ef6ec79e703500e8CA5b2eC819aa,Balancer_Weighted_Math
26,eth,0xbc5f4f9332d8415aaf31180ab4661c9141cc84e4,Balancer,0xbc5F4f9332d8415AAf31180Ab4661c9141CC84E4,Balancer_Weighted_Math
27,eth,0xe8cc7e765647625b95f59c15848379d10b9ab4af,Balancer,0xe8cc7E765647625B95F59C15848379D10B9AB4af,Balancer_Weighted_Math
28,eth,0x831261f44931b7da8ba0dcc547223c60bb75b47f,Balancer,0x831261f44931B7dA8ba0DcC547223c60BB75B47F,Curve_V1_Stable_Math
29,eth,0x831261f44931b7da8ba0dcc547223c60bb75b47f,Balancer,0x831261f44931B7dA8ba0DcC547223c60BB75B47F,Curve_V1_Stable_Math
30,eth,0x514f35a92a13bc7093f299af5d8ebb1387e42d6b,Balancer,0x514f35a92A13bc7093f299AF5D8ebb1387E42D6B,Balancer_Weighted_Math
31,eth,0x441b8a1980f2f2e43a9397099d15cc2fe6d36250,Balancer,0x441b8a1980f2F2E43A9397099d15CC2Fe6D36250,Balancer_Weighted_Math
32,eth,0xfd1cf6fd41f229ca86ada0584c63c49c3d66bbc9,Balancer,0xFD1Cf6FD41F229Ca86ada0584c63C49C3d66BbC9,Balancer_Weighted_Math
33,eth,0x6df50e37a6aefb9024a7284ef1c9e1e8e7c4f7b8,Balancer,0x6dF50E37A6aEfB9024a7284EF1C9e1E8e7c4F7b8,Balancer_Weighted_Math
34,eth,0x344818b9b4cfec947fe8ccbea65b3605585c2c71,Balancer,0x344818B9b4cFec947FE8cCbEa65B3605585c2C71,Balancer_Weighted_Math
35,eth,0xefdc9246e0c4280fb1c138e1093a95ab88959cf8,Balancer,0xefDC9246E0c4280fb1c138e1093a95Ab88959CF8,Balancer_Weighted_Math
36,eth,0xfeadd389a5c427952d8fdb8057d6c8ba1156cc56,Balancer,0xFeadd389a5c427952D8fdb8057D6C8ba1156cC56,Curve_V1_Stable_Math
37,eth,0xfeadd389a5c427952d8fdb8057d6c8ba1156cc56,Balancer,0xFeadd389a5c427952D8fdb8057D6C8ba1156cC56,Curve_V1_Stable_Math
38,eth,0x48607651416a943bf5ac71c41be1420538e78f87,Balancer,0x48607651416A943bF5AC71C41BE1420538e78f87,Balancer_Weighted_Math
39,eth,0xf5f6fb82649df7991054ef796c39da81b93364df,Balancer,0xF5f6fb82649DF7991054Ef796C39da81B93364Df,Balancer_Weighted_Math
