chain,addr,protocol_name,type,addrChecksum
eth,0x21d158d95c2e150e144c36fc64e3653b8d6c6267,Curve,Curve_V2_Crypo_Math,0x21d158d95C2e150e144c36FC64E3653B8D6c6267
eth,0x19b080fe1ffa0553469d20ca36219f17fcf03859,Curve,Curve_V1_Stable_Math,0x19b080FE1ffA0553469D20Ca36219F17Fcf03859
eth,0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,Curve,Curve_V1_Stable_Math,0xA96A65c051bF88B4095Ee1f2451C2A9d43F53Ae2
eth,0x752ebeb79963cf0732e9c0fec72a49fd1defaeac,Curve,Curve_V2_Crypo_Math,0x752eBeb79963cf0732E9c0fec72a49FD1DEfAEAC
eth,0x9838eccc42659fa8aa7daf2ad134b53984c9427b,Curve,Curve_V2_Crypo_Math,0x9838eCcC42659FA8AA7daF2aD134b53984c9427b
eth,0x01fe650ef2f8e2982295489ae6adc1413bf6011f,Curve,Curve_V1_Stable_Math,0x01FE650EF2f8e2982295489AE6aDc1413bF6011F
eth,0xe9123cbc5d1ea65301d417193c40a72ac8d53501,Curve,Curve_V1_Stable_Math,0xe9123CBC5d1EA65301D417193c40A72Ac8D53501
eth,0xe9123cbc5d1ea65301d417193c40a72ac8d53501,Curve,Curve_V1_Stable_Math,0xe9123CBC5d1EA65301D417193c40A72Ac8D53501
eth,0xe9123cbc5d1ea65301d417193c40a72ac8d53501,Curve,Curve_V1_Stable_Math,0xe9123CBC5d1EA65301D417193c40A72Ac8D53501
eth,0x84c333e94aea4a51a21f6cf0c7f528c50dc7592c,Curve,Curve_V1_Stable_Math,0x84C333e94AEA4a51a21F6cf0C7F528C50Dc7592C
eth,0xb9446c4ef5ebe66268da6700d26f96273de3d571,Curve,Curve_V1_Stable_Math,0xb9446c4Ef5EBE66268dA6700D26f96273DE3d571
eth,0xf9440930043eb3997fc70e1339dbb11f341de7a8,Curve,Curve_V1_Stable_Math,0xF9440930043eb3997fc70e1339dBb11F341de7A8
eth,0xf9440930043eb3997fc70e1339dbb11f341de7a8,Curve,Curve_V1_Stable_Math,0xF9440930043eb3997fc70e1339dBb11F341de7A8
eth,0xf9440930043eb3997fc70e1339dbb11f341de7a8,Curve,Curve_V1_Stable_Math,0xF9440930043eb3997fc70e1339dBb11F341de7A8
eth,0x497ce58f34605b9944e6b15ecafe6b001206fd25,Curve,Curve_V1_Stable_Math,0x497CE58F34605B9944E6b15EcafE6b001206fd25
eth,0x1570af3df649fc74872c5b8f280a162a3bdd4eb6,Curve,Curve_V2_Crypo_Math,0x1570af3dF649Fc74872c5B8F280A162a3bdD4EB6
eth,0x04b727c7e246ca70d496ecf52e6b6280f3c8077d,Curve,Curve_V1_Stable_Math,0x04b727C7e246CA70d496ecF52E6b6280f3c8077D
eth,0x13b876c26ad6d21cb87ae459eaf6d7a1b788a113,Curve,Curve_V2_Crypo_Math,0x13B876C26Ad6d21cb87AE459EaF6d7A1b788A113
eth,0x4149d1038575ce235e03e03b39487a80fd709d31,Curve,Curve_V2_Crypo_Math,0x4149d1038575CE235E03E03B39487a80FD709D31
eth,0x808db6e464279c6a77a1164e0b34d64bd6fb526e,Curve,Curve_V2_Crypo_Math,0x808dB6E464279C6A77a1164E0b34d64Bd6fB526E
eth,0xeb16ae0052ed37f479f7fe63849198df1765a733,Curve,Curve_V1_Stable_Math,0xEB16Ae0052ed37f479f7fe63849198Df1765a733
eth,0xeb16ae0052ed37f479f7fe63849198df1765a733,Curve,Curve_V1_Stable_Math,0xEB16Ae0052ed37f479f7fe63849198Df1765a733
eth,0x342d1c4aa76ea6f5e5871b7f11a019a0eb713a4f,Curve,Curve_V2_Crypo_Math,0x342D1C4Aa76EA6F5E5871b7f11A019a0eB713A4f
eth,0x0fafafd3c393ead5f5129cfc7e0e12367088c473,Curve,Curve_V1_Stable_Math,0x0FaFaFD3C393ead5F5129cFC7e0E12367088c473
eth,0x329239599afb305da0a2ec69c58f8a6697f9f88d,Curve,Curve_V1_Stable_Math,0x329239599afB305DA0A2eC69c58F8a6697F9F88d
eth,0xc3b19502f8c02be75f3f77fd673503520deb51dd,Curve,Curve_V1_Stable_Math,0xc3b19502F8c02be75F3f77fd673503520DEB51dD
eth,0xc897b98272aa23714464ea2a0bd5180f1b8c0025,Curve,Curve_V1_Stable_Math,0xc897b98272AA23714464Ea2A0Bd5180f1B8C0025
eth,0x618788357d0ebd8a37e763adab3bc575d54c2c7d,Curve,Curve_V1_Stable_Math,0x618788357D0EBd8A37e763ADab3bc575D54c2C7d
eth,0x618788357d0ebd8a37e763adab3bc575d54c2c7d,Curve,Curve_V1_Stable_Math,0x618788357D0EBd8A37e763ADab3bc575D54c2C7d
eth,0xa148bd19e26ff9604f6a608e22bfb7b772d0d1a3,Curve,Curve_V2_Crypo_Math,0xA148BD19E26Ff9604f6A608E22BFb7B772D0d1A3
eth,0x941eb6f616114e4ecaa85377945ea306002612fe,Curve,Curve_V2_Crypo_Math,0x941Eb6F616114e4Ecaa85377945EA306002612FE
eth,0xf2f12b364f614925ab8e2c8bfc606edb9282ba09,Curve,Curve_V2_Crypo_Math,0xf2f12B364F614925aB8E2C8BFc606edB9282Ba09
